row_type,event_id,event_type,event_label_ko,count,frame,time_sec,team_id,team_name,shot_made_count,shot_missed_count,pass_count,rebound_count,steal_or_block_count,shot_success_rate_pct,possession_frame_count,possession_time_sec,possession_pct,player_track_id,secondary_track_id,confidence,details
total_summary,,all_totals,전체종합,417,,,all,all,83.0,59.0,139.0,51.0,85.0,58.45,15523.0,517.433,100.0,,,,wide_team_event_totals
team_summary,,team_totals,팀별종합,190,,,1,team_1,35.0,16.0,79.0,20.0,40.0,68.63,8756.0,291.867,56.41,,,,wide_team_event_totals
team_summary,,team_totals,팀별종합,195,,,2,team_2,34.0,31.0,60.0,25.0,45.0,52.31,6767.0,225.567,43.59,,,,wide_team_event_totals
event_summary,,shot_made,슛성공,83,,,all,all,,,,,,,,,,,,,total_count
event_summary,,shot_missed,슛실패,59,,,all,all,,,,,,,,,,,,,total_count
event_summary,,pass,패스,139,,,all,all,,,,,,,,,,,,,total_count
event_summary,,rebound,리바운드,51,,,all,all,,,,,,,,,,,,,total_count
event_summary,,steal_or_block,스틸/블락,85,,,all,all,,,,,,,,,,,,,total_count
team_event_summary,,shot_made,슛성공,35,,,1,team_1,,,,,,,,,,,,,team_count
team_event_summary,,shot_missed,슛실패,16,,,1,team_1,,,,,,,,,,,,,team_count
team_event_summary,,pass,패스,79,,,1,team_1,,,,,,,,,,,,,team_count
team_event_summary,,rebound,리바운드,20,,,1,team_1,,,,,,,,,,,,,team_count
team_event_summary,,steal_or_block,스틸/블락,40,,,1,team_1,,,,,,,,,,,,,team_count
team_event_summary,,shot_made,슛성공,34,,,2,team_2,,,,,,,,,,,,,team_count
team_event_summary,,shot_missed,슛실패,31,,,2,team_2,,,,,,,,,,,,,team_count
team_event_summary,,pass,패스,60,,,2,team_2,,,,,,,,,,,,,team_count
team_event_summary,,rebound,리바운드,25,,,2,team_2,,,,,,,,,,,,,team_count
team_event_summary,,steal_or_block,스틸/블락,45,,,2,team_2,,,,,,,,,,,,,team_count
note,,measurement_note,측정메모,,,,,,,,,,,,,,,,,,객체 박스와 공 궤적 기반 추정값입니다. 스틸/블락은 상대팀으로 공 점유가 바뀌는 상황을 함께 집계합니다.
event,E00001,pass,패스,,233,7.767,2,team_2,,,,,,,,,,163,149,0.59,stable_possession_changed_same_team;gap_frames=1;left_frames=9;right_frames=6
event,E00002,shot_made,슛성공,,372,12.4,,unknown,,,,,,,,,,322,,0.7,ball_crossed_rim_zone
event,E00003,pass,패스,,453,15.1,1,team_1,,,,,,,,,,415,356,0.68,stable_possession_changed_same_team;gap_frames=1;left_frames=19;right_frames=17
event,E00004,pass,패스,,492,16.4,1,team_1,,,,,,,,,,356,415,0.62,stable_possession_changed_same_team;gap_frames=23;left_frames=17;right_frames=8
event,E00005,pass,패스,,555,18.5,1,team_1,,,,,,,,,,517,426,0.65,stable_possession_changed_same_team;gap_frames=1;left_frames=27;right_frames=10
event,E00006,shot_made,슛성공,,717,23.9,1,team_1,,,,,,,,,,468,,0.7,ball_crossed_rim_zone
event,E00007,steal_or_block,스틸/블락,,849,28.3,1,team_1,,,,,,,,,,939,953,0.565,stable_possession_changed_opponent_team;gap_frames=25;left_frames=9;right_frames=7
event,E00008,pass,패스,,881,29.367,1,team_1,,,,,,,,,,944,939,0.605,stable_possession_changed_same_team;gap_frames=26;left_frames=7;right_frames=8
event,E00009,shot_made,슛성공,,1060,35.333,2,team_2,,,,,,,,,,1402,,0.629,ball_crossed_rim_zone
event,E00010,shot_missed,슛실패,,1271,42.367,1,team_1,,,,,,,,,,426,,0.465,near_rim_no_make_detected
event,E00011,rebound,리바운드,,1280,42.667,1,team_1,,,,,,,,,,426,,0.5,offensive_rebound_after_missed_shot_frame=1271
event,E00012,steal_or_block,스틸/블락,,1334,44.467,1,team_1,,,,,,,,,,1450,1870,0.58,stable_opponent_possession_after_missed_shot_or_block;gap_frames=4;left_frames=11;right_frames=8
