frame,time_sec,team1_score,team2_score,team1_conf,team2_conf
30,1.0,45,43,1.0,0.99
1800,60.0,46,43,1.0,0.93
1950,65.0,48,43,1.0,0.92
2340,78.0,48,45,1.0,1.0
2850,95.0,50,45,1.0,1.0
4530,151.0,52,45,1.0,1.0
6930,231.0,52,46,1.0,0.97
8940,298.0,54,46,0.99,0.99
10290,343.0,54,49,1.0,0.97
10740,358.0,56,49,1.0,1.0
11760,392.0,59,49,1.0,0.98
13440,448.0,59,50,1.0,1.0
13950,465.0,59,51,1.0,1.0
14520,484.0,61,51,1.0,1.0
15360,512.0,61,54,1.0,1.0
22020,734.0,61,55,1.0,1.0
22500,750.0,61,56,1.0,1.0
28140,938.0,62,56,1.0,1.0
28500,950.0,63,56,1.0,1.0
29070,969.0,63,58,1.0,1.0
29700,990.0,66,58,0.94,1.0
30420,1014.0,66,60,1.0,1.0
31200,1040.0,66,63,1.0,1.0
33600,1120.0,68,63,1.0,1.0
34050,1135.0,68,66,1.0,1.0
36240,1208.0,69,66,0.68,1.0
36870,1229.0,70,66,0.85,1.0
38250,1275.0,70,69,1.0,1.0
39720,1324.0,72,69,0.76,0.63
41070,1369.0,72,71,0.98,1.0
42780,1426.0,73,71,0.88,1.0
43500,1450.0,74,71,0.97,1.0
44310,1477.0,77,71,0.95,1.0
45090,1503.0,77,74,0.96,0.56
