frame,track_id,class,confidence,x_center,y_center,dx,dy
0,1,person,0.85,30.94,660.08,,
0,2,person,0.83,93.71,412.42,62.769999999999996,-247.66000000000003
0,3,person,0.8,315.95,602.83,222.24,190.41000000000003
0,4,person,0.79,915.51,448.62,599.56,-154.21000000000004
0,5,person,0.7,1121.74,372.02,206.23000000000002,-76.60000000000002
0,6,person,0.63,714.91,246.78,-406.83000000000004,-125.23999999999998
0,7,person,0.61,980.55,362.04,265.64,115.26000000000002
0,8,person,0.61,407.13,183.4,-573.42,-178.64000000000001
0,9,person,0.51,968.58,686.34,561.45,502.94000000000005
0,10,person,0.5,1032.37,682.43,63.78999999999985,-3.910000000000082
0,11,person,0.34,622.67,294.63,-409.69999999999993,-387.79999999999995
0,12,person,0.32,55.78,201.01,-566.89,-93.62
0,13,person,0.32,1133.79,674.52,1078.01,473.51
0,14,person,0.28,897.88,284.21,-235.90999999999997,-390.31
1,1,person,0.82,29.39,661.83,-868.49,377.62000000000006
1,2,person,0.83,93.56,412.69,64.17,-249.14000000000004
1,3,person,0.75,314.72,603.28,221.16000000000003,190.58999999999997
1,4,person,0.82,913.19,448.86,598.47,-154.41999999999996
1,5,person,0.71,1124.98,369.55,211.78999999999996,-79.31
1,6,person,0.38,712.33,263.16,-412.65,-106.38999999999999
1,7,person,0.62,978.65,364.47,266.31999999999994,101.31
1,8,person,0.59,407.64,183.27,-571.01,-181.20000000000002
1,9,person,0.51,969.79,686.15,562.15,502.88
1,10,person,0.51,1032.85,682.06,63.059999999999945,-4.090000000000032
1,11,person,0.31,610.63,294.36,-422.2199999999999,-387.69999999999993
1,12,person,0.3,56.12,200.03,-554.51,-94.33000000000001
1,13,person,0.33,1134.43,674.35,1078.3100000000002,474.32000000000005
1,14,person,0.43,895.3,292.14,-239.1300000000001,-382.21000000000004
2,1,person,0.79,28.6,662.54,-866.6999999999999,370.4
2,2,person,0.83,93.67,412.61,65.07,-249.92999999999995
2,3,person,0.84,310.13,603.12,216.45999999999998,190.51
2,4,person,0.85,910.79,449.86,600.66,-153.26
2,5,person,0.76,1129.13,370.74,218.34000000000015,-79.12
2,6,person,0.61,706.25,270.92,-422.8800000000001,-99.82
2,7,person,0.62,976.75,366.95,270.5,96.02999999999997
2,8,person,0.6,407.89,182.73,-568.86,-184.22
2,9,person,0.52,970.39,686.2,562.5,503.47
2,10,person,0.51,1033.6,681.63,63.20999999999992,-4.57000000000005
2,12,person,0.3,56.85,199.52,-976.7499999999999,-482.11
2,13,person,0.38,1134.19,673.42,1077.3400000000001,473.9
2,14,person,0.42,899.1,293.32,-235.09000000000003,-380.09999999999997
3,1,person,0.75,27.7,662.92,-871.4,369.59999999999997
3,2,person,0.82,94.93,410.25,67.23,-252.66999999999996
3,3,person,0.82,301.65,603.47,206.71999999999997,193.22000000000003
3,4,person,0.84,909.36,449.81,607.71,-153.66000000000003
3,5,person,0.77,1134.59,361.29,225.2299999999999,-88.51999999999998
3,6,person,0.62,701.33,263.56,-433.2599999999999,-97.73000000000002
3,7,person,0.68,979.49,366.5,278.15999999999997,102.94
3,8,person,0.6,408.79,181.33,-570.7,-185.17
3,9,person,0.48,973.08,686.43,564.29,505.0999999999999
3,10,person,0.47,1034.98,681.94,61.89999999999998,-4.489999999999895
3,12,person,0.31,57.97,199.05,-977.01,-482.89000000000004
3,13,person,0.4,1136.27,671.93,1078.3,472.87999999999994
4,1,person,0.52,27.3,662.95,-1108.97,-8.979999999999905
4,2,person,0.83,95.99,410.71,68.69,-252.24000000000007
4,3,person,0.82,293.6,603.7,197.61,192.99000000000007
4,4,person,0.83,910.15,448.83,616.55,-154.87000000000006
4,5,person,0.75,1140.09,355.86,229.93999999999994,-92.96999999999997
4,6,person,0.67,710.4,258.9,-429.68999999999994,-96.96000000000004
4,7,person,0.57,979.83,364.56,269.43000000000006,105.66000000000003
4,8,person,0.58,411.2,179.43,-568.6300000000001,-185.13
4,9,person,0.46,976.09,685.87,564.8900000000001,506.44
4,10,person,0.46,1037.75,681.96,61.65999999999997,-3.909999999999968
4,13,person,0.36,1137.98,672.28,100.23000000000002,-9.680000000000064
4,11,person,0.43,603.92,280.71,-534.0600000000001,-391.57
4,14,person,0.35,900.61,298.75,296.69000000000005,18.04000000000002
5,1,person,0.34,27.07,662.03,-873.54,363.28
5,2,person,0.85,96.3,412.59,69.22999999999999,-249.44
5,3,person,0.78,288.92,603.55,192.62,190.95999999999998
5,4,person,0.83,909.97,446.15,621.05,-157.39999999999998
5,5,person,0.74,1144.51,356.11,234.53999999999996,-90.03999999999996
5,6,person,0.68,713.12,257.0,-431.39,-99.11000000000001
5,7,person,0.75,978.24,365.56,265.12,108.56
5,8,person,0.51,413.08,182.14,-565.1600000000001,-183.42000000000002
5,9,person,0.49,978.45,685.35,565.3700000000001,503.21000000000004
5,10,person,0.49,1040.24,681.81,61.789999999999964,-3.5400000000000773
5,13,person,0.36,1140.43,672.17,100.19000000000005,-9.639999999999986
5,11,person,0.4,595.62,284.55,-544.8100000000001,-387.61999999999995
6,2,person,0.9,100.2,413.47,-495.42,128.92000000000002
6,3,person,0.82,276.62,606.41,176.42000000000002,192.93999999999994
6,4,person,0.82,901.76,445.47,625.14,-160.93999999999994
6,5,person,0.74,1149.65,352.97,247.8900000000001,-92.5
6,6,person,0.71,701.35,256.04,-448.30000000000007,-96.93
6,7,person,0.76,977.76,371.5,276.40999999999997,115.45999999999998
6,8,person,0.65,415.81,182.11,-561.95,-189.39
6,9,person,0.43,980.59,684.75,564.78,502.64
6,10,person,0.52,1042.94,680.97,62.35000000000002,-3.7799999999999727
6,13,person,0.35,1142.31,670.82,99.36999999999989,-10.149999999999977
6,11,person,0.61,597.54,291.23,-544.77,-379.59000000000003
6,14,person,0.43,896.05,297.47,298.51,6.240000000000009
7,2,person,0.9,104.78,415.25,-791.27,117.77999999999997
7,3,person,0.81,262.52,602.58,157.73999999999998,187.33000000000004
7,4,person,0.83,897.48,443.46,634.96,-159.12000000000006
7,5,person,0.66,1153.16,351.62,255.68000000000006,-91.83999999999997
7,6,person,0.79,691.71,258.01,-461.45000000000005,-93.61000000000001
7,7,person,0.61,980.62,372.4,288.90999999999997,114.38999999999999
7,8,person,0.6,419.8,181.38,-560.8199999999999,-191.01999999999998
7,9,person,0.45,986.81,683.68,567.01,502.29999999999995
7,10,person,0.47,1046.63,680.14,59.820000000000164,-3.5399999999999636
7,13,person,0.31,1146.71,671.31,100.07999999999993,-8.830000000000041
7,11,person,0.49,596.27,297.88,-550.44,-373.42999999999995
7,14,person,0.45,889.51,295.08,293.24,-2.8000000000000114
8,2,person,0.88,108.76,416.61,-780.75,121.53000000000003
8,3,person,0.41,246.66,608.05,137.89999999999998,191.43999999999994
8,4,person,0.79,895.55,439.84,648.89,-168.20999999999998
8,5,person,0.75,1159.64,354.06,264.09000000000015,-85.77999999999997
8,6,person,0.29,684.39,260.86,-475.2500000000001,-93.19999999999999
8,7,person,0.5,985.34,372.83,300.95000000000005,111.96999999999997
8,8,person,0.61,425.66,177.48,-559.6800000000001,-195.35
8,9,person,0.45,991.12,683.21,565.46,505.73
8,10,person,0.34,1051.18,679.9,60.06000000000006,-3.310000000000059
8,11,person,0.65,577.04,298.83,-474.1400000000001,-381.07
8,14,person,0.53,882.63,293.68,305.59000000000003,-5.149999999999977
8,25,person,0.37,939.19,687.24,56.56000000000006,393.56
9,2,person,0.85,113.65,416.34,-825.5400000000001,-270.90000000000003
9,3,person,0.75,231.87,600.41,118.22,184.07
9,4,person,0.72,893.0,437.63,661.13,-162.77999999999997
9,5,person,0.74,1170.09,354.69,277.0899999999999,-82.94
9,6,person,0.35,680.22,262.19,-489.8699999999999,-92.5
9,7,person,0.47,990.08,377.46,309.86,115.26999999999998
9,8,person,0.66,431.63,176.3,-558.45,-201.15999999999997
9,9,person,0.37,997.0,682.32,565.37,506.02000000000004
9,10,person,0.36,1058.71,678.83,61.710000000000036,-3.490000000000009
9,14,person,0.42,873.99,295.34,-184.72000000000003,-383.49000000000007
9,25,person,0.37,944.16,686.11,70.16999999999996,390.77000000000004
10,2,person,0.84,119.28,413.77,-824.88,-272.34000000000003
10,3,person,0.78,227.2,591.5,107.91999999999999,177.73000000000002
10,4,person,0.54,885.51,435.82,658.31,-155.68
10,5,person,0.69,1174.83,350.7,289.31999999999994,-85.12
10,6,person,0.56,677.39,263.63,-497.43999999999994,-87.07
10,8,person,0.66,438.9,175.28,-238.49,-88.35
10,9,person,0.35,1004.83,681.45,565.9300000000001,506.1700000000001
10,10,person,0.34,1065.34,677.84,60.50999999999988,-3.6100000000000136
10,14,person,0.43,867.64,292.47,-197.69999999999993,-385.37
10,25,person,0.37,949.67,684.9,82.02999999999997,392.42999999999995
10,11,person,0.68,561.94,299.02,-387.7299999999999,-385.88
11,2,person,0.68,126.13,409.47,-435.81000000000006,110.45000000000005
11,3,person,0.54,227.68,584.02,101.55000000000001,174.54999999999995
11,4,person,0.5,882.51,428.46,654.8299999999999,-155.56
